dialogue_id,final_turn_index,goals,evidence_user_turn_and_quote,notes,input_sha256
726,4,,,,632bd1ca117826e4a4e8928f63739de8b98a512ef0b36a85231c25dd0ef58da7
730,4,,,,6054fdd36cb1a50e0bc31b286b6e97fb2d930cf1276a68a0d9a9d1ef13cbedd4
731,4,,,,479fb1e0a2a4248c9397d8b0a43bc1a55d6f261d534308f814dc6d1e86f3698e
735,4,,,,9b4525c2509a7715f32d32ec6bb000016c17adcaebb63ce08e7e936131f4ecd0
749,4,,,,4321506fd3cbdd35896c407762546ab4109391311ea9818d9c66158e6c4311c4
755,4,,,,c7bb509a607b86c8b24fafe31e272b286381ef6eea5bf75cb47405931fc8954e
763,4,,,,3208de4f684ad1840005f2cc6acefdd41a8ae4b29e0c89c5f5c504defd2809d9
764,4,,,,35c5c6f2ba47acd1724d5cd3ef9fcac2a0c43a88de65c1c54319c50c02d646ea
794,4,,,,09337dbcb594a425eb3443c6543d654d58e5ff68defb9f19893e3a2f10e55402
795,4,,,,b05804caf95af0a4a2517b1ae88062eb1b93746f252ec1ada87755d17f476b9f
796,4,,,,8cddf9a54d8e62a7494a41d073b7cf6a4e8af55ef07ac1c82976cab3c6f74ab4
797,4,,,,eecad0bf45fe2c423e04c9578f867995a93e93d31b6de82867b53b414030b2fb
798,4,,,,8c1d56af4d62132d54cfa017f90b2d54deaa66d8de437d057b6f9c8eca1ca81b
799,4,,,,f004edb4863580b0eadf3f7e08fb079557f04d6f357b004e6b62f362b6d4e0fa
811,4,,,,817a7e4b512783a46ebe3ef282aceae459fa7f4425c3456acef73b6d4e90c994
869,4,,,,8640da55446db28139dd8080d1b995e8c074746093b8d94f40039cd1e79c2f5c
879,4,,,,b9d5fc3538e05c094fdaf5aa9b39ecb875697d4192ab256abf0a9347b7effa3f
891,4,,,,2dc0adad9f883e5fb30758de99b016755e40dd7ac5a7583a8e69de62e5c11397
892,4,,,,c576ec43ab5f5f4a2bf939c5c66b635a40fba3c58f8e78dc73be29535d7f3254
939,4,,,,9cdd46f1089ea760457881fb12aa98849059fdf78effbbd8c5eca5b6809eff74
947,4,,,,751fb88270f3a47831636b83337d39fcd43a593a407d96bb84f086bd6f779143
950,4,,,,220b1d49eaeee3ea141db807999d5ccaf7c5b3ed17926470f2350a7e9bf62cf2
951,4,,,,20061a6372b9bf3e98e21289cd8879fede5960ce9606f25d59c809057068bc52
966,4,,,,97550564965e5d5e14dae027ec2f166427cf624f8443525f887ca4604025b3cf
999,4,,,,7bcea0d10da621c52c46e40543748df9bfbd3b5644c62a500fce689e34e3bbc7
1008,3,,,,6fe1c70cbfa00b6ddaaa086033884f905f94d8f421e78e925984c606fe040b74
1011,4,,,,bbd53fc37a658db0b4eb673ccdab1c3d64346ce417ecb43acb25fa7772dccc88
1014,4,,,,78c1522d2fd41b77c84e8247799c04c031fbbe233e5ccb84a0561ead836d7436
1022,3,,,,10685fa8eaa48c9ea3c0947f282706d360165e786e60efe92fa79d6917a0d6c5
1027,4,,,,3672ecae6337f23b3bde4807daa14f487bdd9cecf7afb82ab0280e6077574355
1049,4,,,,577145dffe296363aa30413210b42fc868bfc84ce5cf8722ad258bb6eac0c399
1113,4,,,,61a0e8086a088ec6d517b1f07aaf96eea05de95bec26ede18c9f99a4efe35066
1281,4,,,,a8ecfa73d1f36ba646bfd63794135b961c25ac2708155793375b506468678e8c
1362,4,,,,eca0bfb5772c9eff9ea0f8e4f4cf11422fff42a4243309ee3a89344c4c007f90
1363,4,,,,99c868efd2f1358abc105b2db0530f00736056f9748ca43ef77a4ca5506d976b
1402,4,,,,928f438c33176ef149c8a47ce579e640bc120b3c80ee45a7b1b1f4512fc74e70
1417,4,,,,ed59379c88dcb897963352d124c5a87509a48aef4671d1342b1f717e439981d2
1478,4,,,,a247b229dd5c7b164e24730eaad1dfadaf5ee4e83ff4717b5859cfe76f4a2690
1564,4,,,,a67e0c1fe6a5d42e49938bfaba317e73eb44148c284015f9b205e3f58554c2f5
1569,4,,,,9c2b61410dcace78b8ebefe0be91f3f77c737f5b3300610850eb716e54491b9c
1572,4,,,,65434b94b121011df835834eee4cc4a306893dca52b0bb14be9e0604a874db94
1692,4,,,,c21ecbe1a44f30ccdd7852710537d57c5576e8a3058ec073af2a3e43cc31da66
1752,4,,,,433021e633cce08a08f60c94861c15e766f295f89843e60399e682e5a0293c63
1805,4,,,,83a3667e6a205d496f2cba720cf495005a0be4bd090cbe40820d30cab5f12af0
1824,5,,,,4d03beae303d39dd3914e0cbc3741b181b02d47db8bf97757e9a924e4620816c
2026,4,,,,6bcd650e0993dca49e2dd6ae98534be4c307461475d13d461ac3aaee615da327
2030,4,,,,e617cc5b0c1ddb59c26db406c912eed33f19cd483bd4605ed4f4f05240b256f8
2034,4,,,,c405fb689d6a1087ebcc28346be7da8b5c758a4e634f630f555de7859a813823
